Name	MS2FormulaType	Q1	Q3	CE	Polarity	Formula	MS2Formula	IntegrationStartTime	IntegrationEndTime	Tags
PC_36:0	ConstantProduct	790.6320318656007	184.07332101418055		Positive	C44H89O8N1P1	C5H15O4N1P1	0	120	
PC_36:1	ConstantProduct	788.6163818014605	184.07332101418055		Positive	C44H87O8N1P1	C5H15O4N1P1	0	120	
PC_36:2	ConstantProduct	786.6007317373206	184.07332101418055		Positive	C44H85O8N1P1	C5H15O4N1P1	0	120	
PC_36:3	ConstantProduct	784.5850816731805	184.07332101418055		Positive	C44H83O8N1P1	C5H15O4N1P1	0	120	
PC_36:4	ConstantProduct	782.5694316090406	184.07332101418055		Positive	C44H81O8N1P1	C5H15O4N1P1	0	120	
PC_36:5	ConstantProduct	780.5537815449005	184.07332101418055		Positive	C44H79O8N1P1	C5H15O4N1P1	0	120	
PC_36:6	ConstantProduct	778.5381314807606	184.07332101418055		Positive	C44H77O8N1P1	C5H15O4N1P1	0	120	
PC_36:7	ConstantProduct	776.5224814166205	184.07332101418055		Positive	C44H75O8N1P1	C5H15O4N1P1	0	120	
PC_36:8	ConstantProduct	774.5068313524806	184.07332101418055		Positive	C44H73O8N1P1	C5H15O4N1P1	0	120	
PC_29:4	ConstantProduct	684.4598811600605	184.07332101418055		Positive	C37H67O8N1P1	C5H15O4N1P1	0	120	
PC_36:9	ConstantProduct	772.4911812883405	184.07332101418055		Positive	C44H71O8N1P1	C5H15O4N1P1	0	120	
PC_31:0	ConstantProduct	720.5537815449005	184.07332101418055		Positive	C39H79O8N1P1	C5H15O4N1P1	0	120	
PC_31:1	ConstantProduct	718.5381314807606	184.07332101418055		Positive	C39H77O8N1P1	C5H15O4N1P1	0	120	
PC_31:2	ConstantProduct	716.5224814166205	184.07332101418055		Positive	C39H75O8N1P1	C5H15O4N1P1	0	120	
PC_31:3	ConstantProduct	714.5068313524806	184.07332101418055		Positive	C39H73O8N1P1	C5H15O4N1P1	0	120	
PC_38:0	ConstantProduct	818.6633319938807	184.07332101418055		Positive	C46H93O8N1P1	C5H15O4N1P1	0	120	
PC_38:1	ConstantProduct	816.6476819297405	184.07332101418055		Positive	C46H91O8N1P1	C5H15O4N1P1	0	120	
